"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Source","EID"
"Butler L.; Ivanov A.; Celik T.; Karabayir I.; Chinthala L.; Hudson M.M.; Ness K.K.; Mulrooney D.A.; Dixon S.B.; Tootooni M.S.; Doerr A.J.; Jaeger B.C.; Davis R.L.; McManus D.D.; Herrington D.; Akbilgic O.","Butler, Liam (57224925963); Ivanov, Alexander (57200933301); Celik, Turgay (7006617047); Karabayir, Ibrahim (56677890800); Chinthala, Lokesh (57221148545); Hudson, Melissa M. (7202192005); Ness, Kiri K. (59863060300); Mulrooney, Daniel A. (6602731977); Dixon, Stephanie B. (57197812956); Tootooni, Mohammad S. (56154774200); Doerr, Adam J. (58705393300); Jaeger, Byron C. (56395064700); Davis, Robert L. (7410192927); McManus, David D. (35484994900); Herrington, David (7005853829); Akbilgic, Oguz (28567583700)","57224925963; 57200933301; 7006617047; 56677890800; 57221148545; 7202192005; 59863060300; 6602731977; 57197812956; 56154774200; 58705393300; 56395064700; 7410192927; 35484994900; 7005853829; 28567583700","Feasibility of remote monitoring for fatal coronary heart disease using Apple Watch ECGs","2024","Cardiovascular Digital Health Journal","5","3","","115","121","3","10.1016/j.cvdhj.2024.03.007","https://www.scopus.com/pages/publications/85192686036?origin=resultslist","Article","Final","Scopus","2-s2.0-85192686036"
"Amaro I.; Auriemma Citarella A.; De Marco F.; Della Greca A.; Di Biasi L.; Francese R.; Rossi D.; Tortora G.; Tucci C.","Amaro, Ilaria (58487183200); Auriemma Citarella, Alessia (57226113587); De Marco, Fabiola (57211021892); Della Greca, Attilio (58629663900); Di Biasi, Luigi (57188978927); Francese, Rita (6602289285); Rossi, Domenico (59352736500); Tortora, Genoveffa (35587906400); Tucci, Cesare (58487318200)","58487183200; 57226113587; 57211021892; 58629663900; 57188978927; 6602289285; 59352736500; 35587906400; 58487318200","AI-driven technologies in Digital Health & Well Being: early detection and intervention strategies","2024","CEUR Workshop Proceedings","3762","","","330","335","3","","https://www.scopus.com/pages/publications/85205594002?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85205594002"
"Spooner M.T.; Messé S.R.; Chaturvedi S.; Do M.M.; Gluckman T.J.; Han J.K.; Russo A.M.; Saxonhouse S.J.; Wiggins N.B.","Spooner, Michael T. (57201642805); Messé, Steven R. (6603303366); Chaturvedi, Seemant (7202989066); Do, Monika M. (58880792100); Gluckman, Ty J. (58898881000); Han, Janet K. (57218799946); Russo, Andrea M. (56502926500); Saxonhouse, Sherry J. (6507549225); Wiggins, Newton B. (55098311400)","57201642805; 6603303366; 7202989066; 58880792100; 58898881000; 57218799946; 56502926500; 6507549225; 55098311400","2024 ACC Expert Consensus Decision Pathway on Practical Approaches for Arrhythmia Monitoring After Stroke: A Report of the American College of Cardiology Solution Set Oversight Committee","2025","Journal of the American College of Cardiology","85","6","","657","681","20","10.1016/j.jacc.2024.10.100","https://www.scopus.com/pages/publications/85214331045?origin=resultslist","Article","Final","Scopus","2-s2.0-85214331045"
"Chowdhury M.A.; Rizk R.; Chiu C.; Zhang J.J.; Scholl J.L.; Bosch T.J.; Singh A.; Baugh L.A.; McGough J.S.; Santosh K.C.; Chen W.C.W.","Chowdhury, Mohammed A. (58826054200); Rizk, Rodrigue (57209196845); Chiu, Conroy (59654101900); Zhang, Jing J. (58398682300); Scholl, Jamie L. (25650826800); Bosch, Taylor J. (57200045980); Singh, Arun (55873023200); Baugh, Lee A. (15768960700); McGough, Jeffrey S. (57206505788); Santosh, K.C. (14831502300); Chen, William C.W. (57221768854)","58826054200; 57209196845; 59654101900; 58398682300; 25650826800; 57200045980; 55873023200; 15768960700; 57206505788; 14831502300; 57221768854","The Heart of Transformation: Exploring Artificial Intelligence in Cardiovascular Disease","2025","Biomedicines","13","2","427","","","27","10.3390/biomedicines13020427","https://www.scopus.com/pages/publications/85218882670?origin=resultslist","Review","Final","Scopus","2-s2.0-85218882670"
"Akbasli I.T.; Loomba R.S.; Kesici S.; Marino B.S.; Morca A.; Baloglu O.","Akbasli, Izzet Turkalp (57222142626); Loomba, Rohit S. (12751805200); Kesici, Selman (57208501348); Marino, Bradley S. (7103140084); Morca, Ayse (58616392200); Baloglu, Orkun (16041353200)","57222142626; 12751805200; 57208501348; 7103140084; 58616392200; 16041353200","Artificial Intelligence in Pediatric Cardiac Intensive Care: Clinical Applications, Implementation Challenges, and Future Directions","2026","Current Treatment Options in Pediatrics","12","1","16","","","0","10.1007/s40746-026-00374-8","https://www.scopus.com/pages/publications/105036344843?origin=resultslist","Review","Final","Scopus","2-s2.0-105036344843"
"Sakyi-Yeboah E.; Agyemang E.F.; Agbenyeavu V.; Osei-Nkwantabisa A.; Kissi-Appiah P.; Moshood L.; Agbota L.; Nortey E.N.N.","Sakyi-Yeboah, Enoch (57219691563); Agyemang, Edmund Fosu (58508153400); Agbenyeavu, Vincent (59702880000); Osei-Nkwantabisa, Akua (59338268500); Kissi-Appiah, Priscilla (59704057000); Moshood, Lateef (59704057100); Agbota, Lawrence (59333162500); Nortey, Ezekiel N. N. (35559307000)","57219691563; 58508153400; 59702880000; 59338268500; 59704057000; 59704057100; 59333162500; 35559307000","Heart Disease Prediction Using Ensemble Tree Algorithms: A Supervised Learning Perspective","2025","Applied Computational Intelligence and Soft Computing","2025","1","1989813","","","9","10.1155/acis/1989813","https://www.scopus.com/pages/publications/105000808196?origin=resultslist","Article","Final","Scopus","2-s2.0-105000808196"
"Rothman A.M.K.; Benza R.; Wilkins M.R.; Toshner M.","Rothman, Alexander M. K. (55892862300); Benza, Raymond (7004568891); Wilkins, Martin R. (7102324937); Toshner, Mark (24170144100)","55892862300; 7004568891; 7102324937; 24170144100","Remote monitoring in pulmonary arterial hypertension","2025","ERS Monograph","2025-September","109","","77","83","1","10.1183/2312508X.10019524","https://www.scopus.com/pages/publications/105017476498?origin=resultslist","Article","Final","Scopus","2-s2.0-105017476498"
"Ullah M.; Hamayun S.; Wahab A.; Khan S.U.; Qayum M.; Ullah A.; Rehman M.U.; Mehreen A.; Awan U.A.; Naeem M.","Ullah, Muneeb (57222134560); Hamayun, Shah (57957297000); Wahab, Abdul (59128551200); Khan, Shahid Ullah (57034624400); Qayum, Mughal (36098379400); Ullah, Aziz (57203070001); Rehman, Mahboob Ur (57224527594); Mehreen, Aqsa (57209749493); Awan, Uzma A. (55969544300); Naeem, Muhammad (59874414300)","57222134560; 57957297000; 59128551200; 57034624400; 36098379400; 57203070001; 57224527594; 57209749493; 55969544300; 59874414300","Smart Technologies Used as Smart Tools in the Management of Cardiovascular Disease and Their Future Perspective","2023","Current Problems in Cardiology","48","11","101922","","","117","10.1016/j.cpcardiol.2023.101922","https://www.scopus.com/pages/publications/85166979349?origin=resultslist","Review","Final","Scopus","2-s2.0-85166979349"
"Lim J.; Han D.; Chon K.H.","Lim, Jaechan (55622931700); Han, Dong (57195625504); Chon, Ki H. (7006498204)","55622931700; 57195625504; 7006498204","QRS-centric beat-wise atrial fibrillation detection in ECG signals using deep neural networks","2025","Computers in Biology and Medicine","192","","110282","","","2","10.1016/j.compbiomed.2025.110282","https://www.scopus.com/pages/publications/105004931183?origin=resultslist","Article","Final","Scopus","2-s2.0-105004931183"
"Pilvar A.; Plutzky J.; Roblyer D.","Pilvar, Anahita (57211927754); Plutzky, Jorge (7006679746); Roblyer, Darren (22036360200)","57211927754; 7006679746; 22036360200","Enhanced peripheral tissue oxygenation and hemoglobin concentration after a high-fat meal measured with spatial frequency domain imaging","2024","Biophotonics Discovery","1","2","025004","","","2","10.1117/1.BIOS.1.2.025004","https://www.scopus.com/pages/publications/105031112549?origin=resultslist","Article","Final","Scopus","2-s2.0-105031112549"
"Nithiya A.; Aparna P.; Bharathipriya P.; Kalpana P.; Mathumitha P.","Nithiya, A. (59155729900); Aparna, P. (59155933700); Bharathipriya, P. (59155465100); Kalpana, P. (60137570400); Mathumitha, P. (59156030400)","59155729900; 59155933700; 59155465100; 60137570400; 59156030400","A Diabetes Monitoring System and Health-Medical Service Composition Model in Cloud Environment","2024","2nd International Conference on Artificial Intelligence and Machine Learning Applications: Healthcare and Internet of Things, AIMLA 2024","","","","","","0","10.1109/AIMLA59606.2024.10531506","https://www.scopus.com/pages/publications/85195114174?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85195114174"
"Naushad Z.; Malik J.; Mishra A.K.; Singh S.; Shrivastav D.; Sharma C.K.; Verma V.V.; Pal R.K.; Roy B.; Sharma V.K.","Naushad, Zayera (56563971300); Malik, Jaya (59896215200); Mishra, Abhishek Kumar (59748154300); Singh, Shilpy (58003136600); Shrivastav, Dharmsheel (57455239600); Sharma, Chetan Kumar (57202994001); Verma, Ved Vrat (55377075600); Pal, Ravi Kant (60107436400); Roy, Biswajit (7201659767); Sharma, Varun Kumar (57075476300)","56563971300; 59896215200; 59748154300; 58003136600; 57455239600; 57202994001; 55377075600; 60107436400; 7201659767; 57075476300","Artificial Intelligence in Cardiovascular Health: Insights into Post-COVID Public Health Challenges","2025","High Blood Pressure and Cardiovascular Prevention","32","5","","475","494","3","10.1007/s40292-025-00738-5","https://www.scopus.com/pages/publications/105016598009?origin=resultslist","Review","Final","Scopus","2-s2.0-105016598009"
"Smitha A.B.; Shetty S.; Gagan H.; Sayed F.; Prasad L.B.; Vishwanath","Smitha, A.B. (58235739400); Shetty, Sumiksha (58119244900); Gagan, H. (60529764300); Sayed, Farhan (57208584616); Prasad, Lalu B. (60529904100); Vishwanath (60530046300)","58235739400; 58119244900; 60529764300; 57208584616; 60529904100; 60530046300","Connected Health: IoT and ML as Cardiac Real-Time Monitoring","2025","3rd International Conference on Emerging Applications of Material Science and Technology, ICEAMST 2025","","","","1363","1366","1","10.1109/ICEAMST67459.2025.11336146","https://www.scopus.com/pages/publications/105033635553?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105033635553"
"Mishra A.; Patra S.","Mishra, Aditya (59566125600); Patra, Sabyasachi (57202907309)","59566125600; 57202907309","Prediction of Heart Disease Based on Weighted Combination of Binary Classifier","2026","Communications in Computer and Information Science","2610 CCIS","","","335","344","0","10.1007/978-3-032-11488-4_27","https://www.scopus.com/pages/publications/105027543105?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105027543105"
"Nguyen T.; Kolla S.S.; Wang H.; Weisbecker H.; Messersmith B.; Leal D.B.M.; Kuntamukkala R.; Liu Y.; Hanson E.D.; Paterson C.; Chauntry A.J.; Bai W.","Nguyen, Tien (58835532300); Kolla, Sai Satvik (60125125300); Wang, Henry (60125258700); Weisbecker, Hannah (58025155000); Messersmith, Braden (60125394200); Leal, Daniela Beatriz Martinez (60125258800); Kuntamukkala, Roshan (60124710200); Liu, Yihan (57280902500); Hanson, Erik D. (23979865400); Paterson, Craig (57217045076); Chauntry, Aiden J. (57211182635); Bai, Wubin (55999309600)","58835532300; 60125125300; 60125258700; 58025155000; 60125394200; 60125258800; 60124710200; 57280902500; 23979865400; 57217045076; 57211182635; 55999309600","A Pilot Human Study on Dual Photoplethysmography for Continuously Monitoring Pulse Wave Velocity and Blood Pressure","2025","IEEE Journal on Flexible Electronics","4","11","","422","428","0","10.1109/JFLEX.2025.3614515","https://www.scopus.com/pages/publications/105017749299?origin=resultslist","Article","Final","Scopus","2-s2.0-105017749299"
"Meder B.; Asselbergs F.W.; Ashley E.","Meder, Benjamin (6602409026); Asselbergs, Folkert W. (57202567488); Ashley, Euan (7004338939)","6602409026; 57202567488; 7004338939","Artificial intelligence to improve cardiovascular population health","2025","European Heart Journal","46","20","","1907","1916","30","10.1093/eurheartj/ehaf125","https://www.scopus.com/pages/publications/105005803633?origin=resultslist","Review","Final","Scopus","2-s2.0-105005803633"
"Singh A.; Alapatt B.P.; George J.P.","Singh, Aaron (60040081100); Alapatt, Bosco Paul (57486371900); George, Jossy P (57201260975)","60040081100; 57486371900; 57201260975","An Explainable AI-Driven Deep Learning Algorithm for Heart Disease Detection in Healthcare","2025","Proceedings of 6th International Conference on Intelligent Communication Technologies and Virtual Mobile Networks, ICICV 2025","","","","471","477","0","10.1109/ICICV64824.2025.11085482","https://www.scopus.com/pages/publications/105013073834?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105013073834"
"Rehman A.; Xing H.; Hussain M.; Gulzar N.; Khan M.A.; Hussain A.; Mahmood S.","Rehman, Amir (57223107748); Xing, Huanlai (25923226000); Hussain, Mehboob (57208385088); Gulzar, Nighat (58099202800); Khan, Muhammad Adnan (57226797214); Hussain, Abid (59833819700); Mahmood, Sajid (59232533200)","57223107748; 25923226000; 57208385088; 58099202800; 57226797214; 59833819700; 59232533200","HCDP-DELM: Heterogeneous chronic disease prediction with temporal perspective enabled deep extreme learning machine","2024","Knowledge-Based Systems","284","","111316","","","18","10.1016/j.knosys.2023.111316","https://www.scopus.com/pages/publications/85181080457?origin=resultslist","Article","Final","Scopus","2-s2.0-85181080457"
"Keerthi Krishna S.; Resin M.J.; Fathima S.A.; Afthab T.S.; Paul A.; Bobby Mathews C.","Keerthi Krishna, S. (60103612700); Resin, M.J. (60103560600); Fathima, S.A. (60103352300); Afthab, T.S. (60103404300); Paul, Arya (57651541900); Bobby Mathews, C. (60103453500)","60103612700; 60103560600; 60103352300; 60103404300; 57651541900; 60103453500","IoT Enabled Vital Signs Monitoring Band with Predictive Analytics","2025","Conference Proceedings - 2025 4th International Conference on Advances in Computing, Communication, Embedded and Secure Systems, ACCESS 2025","","","","694","701","0","10.1109/ACCESS65134.2025.11135642","https://www.scopus.com/pages/publications/105016317903?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105016317903"
"Ashinze P.; Akande E.; Bethrand C.; Obafemi E.; David O.-O.O.; Akobe S.N.; Joyce N.O.; Izuchukwu O.J.; Okoro N.P.","Ashinze, Patrick (58142677100); Akande, Eniola (59135863000); Bethrand, Chukwu (59316874100); Obafemi, Eniola (59146342100); David, Olafisoye-Oragbade Oluwatosin (59316166600); Akobe, Suleiman Nasiru (59204924100); Joyce, Ndubuisi Onyinyechukwu (59316305200); Izuchukwu, Obidiegwu Jonathan (59316305300); Okoro, Ngozi Peace (59204542000)","58142677100; 59135863000; 59316874100; 59146342100; 59316166600; 59204924100; 59316305200; 59316305300; 59204542000","Artificial intelligence: transforming cardiovascular healthcare in Africa","2024","Egyptian Heart Journal","76","1","120","","","7","10.1186/s43044-024-00551-w","https://www.scopus.com/pages/publications/85203289644?origin=resultslist","Review","Final","Scopus","2-s2.0-85203289644"
"Ziyanuddin M.; Basha T.; Sampathila N.; Mayrose H.; Chadaga K.; Darshan D.","Ziyanuddin, Mohammed (59695749100); Basha, Tanveer (59695239900); Sampathila, Niranjana (56584740000); Mayrose, Hilda (57356755200); Chadaga, Krishnaraj (57226665664); Darshan, Dhruva (60402341200)","59695749100; 59695239900; 56584740000; 57356755200; 57226665664; 60402341200","Explainable AI-Enhanced Machine Learning Models for Coronary Heart Disease Detection","2025","Proceedings of 2025 IEEE International Conference on Contemporary Computing and Communications, InC4 2025","","","","","","0","10.1109/InC465408.2025.11256202","https://www.scopus.com/pages/publications/105030327838?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105030327838"
"Dhabarde D.M.; Maske M.P.; Baheti J.R.; Shahare H.V.","Dhabarde, Disha M. (55901074800); Maske, Monika P. (58688723100); Baheti, Jagdish R. (8237542000); Shahare, Hitesh V. (54417936800)","55901074800; 58688723100; 8237542000; 54417936800","A TELE-HEALTHCARE SYSTEM FOR DIAGNOSIS AND TREATMENT OF PATIENTS DURING A PANDEMIC","2024","Handbook of Research on Artificial Intelligence and Soft Computing Techniques in Personalized Healthcare Services","","","","279","299","6","10.1201/9781003371250-16","https://www.scopus.com/pages/publications/85176344290?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-85176344290"
